Country,Total #Beta GH/501Y.V2 (B.1.351),Number Beta GH/501Y.V2 (B.1.351) in past 4 weeks,Percent Beta GH/501Y.V2 (B.1.351) in past 4 weeks
South Africa,"5,436",27,31
Sweden,"2,247",7,0.9
USA,"2,178",15,0.2
Germany,"2,165",24,0.5
France,"2,020",88,4.6
Finland,"1,096",0,0
Belgium,958,12,0.7
Canada,771,0,0
Luxembourg,745,0,0
Philippines,695,0,0
Netherlands,687,0,0
United Kingdom,652,21,0
Turkey,539,0,0
Qatar,468,0,0
Angola,385,0,0
Norway,355,0,0
Reunion,351,55,39.9
Zimbabwe,331,0,0
Mozambique,319,0,0
Malawi,313,0,0
Botswana,289,67,72.8
Spain,267,12,0.8
Austria,260,4,2.3
Israel,240,0,0
Switzerland,217,11,1
India,197,0,0
Kenya,166,1,12.5
Malaysia,128,4,80
Denmark,108,2,0
Portugal,96,1,0.2
Singapore,95,3,1.3
China,86,1,4.3
Japan,76,7,6.9
Ireland,69,0,0
Czech Republic,65,2,2.6
Australia,64,9,6.6
Zambia,62,0,0
Poland,45,3,0.9
Italy,45,1,0.1
Equatorial Guinea,43,0,0
Croatia,41,0,0
Bangladesh,39,0,0
Estonia,37,0,0
Thailand,36,0,0
Mayotte,33,0,0
Slovenia,31,0,0
Rwanda,30,0,0
Slovakia,28,0,0
New Zealand,27,0,0
Eswatini,26,0,0
Greece,22,0,0
Russia,21,0,0
Mexico,19,0,0
Djibouti,18,0,0
Pakistan,17,0,0
South Korea,17,0,0
Lesotho,14,0,0
Democratic Republic of the Congo,13,0,0
Uganda,13,0,0
Ghana,12,0,0
Costa Rica,12,0,0
Lithuania,11,0,0
United States,11,0,0
Namibia,9,0,0
Cameroon,9,0,0
Mauritius,8,0,0
Indonesia,7,2,1.3
Latvia,7,0,0
Romania,7,0,0
United Arab Emirates,6,0,0
Suriname,5,0,0
Brazil,5,0,0
Sri Lanka,4,0,0
Aruba,4,0,0
Gabon,4,0,0
Guadeloupe,3,0,0
Chile,3,0,0
Togo,2,0,0
Malta,2,0,0
Iran,2,0,0
Martinique,2,0,0
Jordan,2,0,0
Guam,2,0,0
Panama,2,0,0
Saudi Arabia,1,0,0
Argentina,1,0,0
Tunisia,1,0,0
Sint Maarten,1,0,0
Guinea Bissau,1,0,0
Iraq,1,0,0
Brunei,1,0,0
Colombia,1,0,0
French Guiana,1,0,0
North Macedonia,1,0,0
Bahrain,1,0,0
Cambodia,1,1,1.4
Cote d'Ivoire,1,0,0
